movie_title,imdb_id,movie_budget,movie_revenue,movie_release,join_title,book_publisher,book_pages,book_rating,book_ratings_count,join_author,imdb_rating,imdb_total_votes
Johnny Mnemonic,tt0113481,53881727.574750826,41113309.933289036,1995.0,johnny mnemonic,,0,0.0,0,,5.6,79716.0
Judge Dredd,tt0113492,193974219.26910296,244608992.99008635,1995.0,judge dredd,,0,0.0,0,,5.6,130482.0
Jury Duty,tt0113500,0.0,36671155.90899667,1995.0,jury duty,,0,0.0,0,,4.3,9159.0
Kids,tt0113540,3232903.6544850497,15975320.129488371,1995.0,kids,,0,0.0,0,,7.0,90191.0
Living in Oblivion,tt0113677,1077634.5514950166,2475869.692598006,1995.0,living in oblivion,,0,0.0,0,,7.5,21345.0
Lord of Illusions,tt0113690,0.0,0.0,1995.0,lord of illusions,,0,0.0,0,,6.0,20697.0
Love & Human Remains,tt0107447,0.0,0.0,1993.0,love & human remains,,0,0.0,0,,6.6,2938.0
Mad Love,tt0113729,0.0,33305963.9922392,1995.0,mad love,,0,0.0,0,,5.4,7318.0
Mallrats,tt0113749,12931614.617940199,4574690.142511628,1995.0,mallrats,,0,0.0,0,,7.0,133085.0
Mighty Morphin Power Rangers: The Movie,tt0113820,32329036.544850495,142247760.79734218,1995.0,mighty morphin power rangers: the movie,,0,0.0,0,,5.3,31727.0
Moonlight and Valentino,tt0113851,0.0,0.0,1995.0,moonlight and valentino,,0,0.0,0,,5.7,4365.0
Mute Witness,tt0110604,4.310538205980066,2.155269102990033,1995.0,mute witness,,0,0.0,0,,6.7,8091.0
Nadja,tt0110620,0.0,0.0,1994.0,nadja,,0,0.0,0,,6.0,3728.0
The Net,tt0113957,47415920.265780725,238433034.89116278,1995.0,the net,,0,0.0,0,,6.0,78548.0
Nine Months,tt0113986,0.0,150137625.5265382,1995.0,nine months,,0,0.0,0,,5.5,39816.0
Party Girl,tt0114095,323290.365448505,1018084.466179402,1995.0,party girl,,0,0.0,0,,6.5,8439.0
The Prophecy,tt0114194,17.242152823920264,34.48430564784053,1995.0,the prophecy,,0,0.0,0,,6.4,35062.0
Reckless,tt0114241,0.0,0.0,1995.0,reckless,,0,0.0,0,,5.2,540.0
Safe,tt0114323,0.0,0.0,1995.0,safe,,0,0.0,0,,7.1,18754.0
The Scarlet Letter,tt0114345,107763455.14950165,22376881.02176744,1995.0,the scarlet letter,,0,0.0,0,,5.3,17169.0
The Show,tt0114435,0.0,0.0,1995.0,the show,,0,0.0,0,,6.9,395.0
Showgirls,tt0114436,96987109.63455148,43861351.31875083,1995.0,showgirls,,0,0.0,0,,5.2,80224.0
Smoke,tt0114478,15086883.720930232,17995268.506578073,1995.0,smoke,,0,0.0,0,,7.4,39547.0
Something to Talk About,tt0114496,0.0,109686300.03242524,1995.0,something to talk about,,0,0.0,0,,5.8,16448.0
Species,tt0114508,75434418.60465115,244351701.27510962,1995.0,species,,0,0.0,0,,5.9,90422.0
