,movie_title,imdb_id,movie_budget,movie_revenue,movie_release,join_title,imdb_rating,imdb_total_votes,Publisher,Pages,Rating,RatingDistTotal,Authors
1503,Birds of America,tt1029134,0.0,0.0,2008.0,birds of america,6.0,5666.0,Picador USA,291,4.11,total:13529,Lorrie Moore
1504,Birds of America,tt1029134,0.0,0.0,2008.0,birds of america,6.0,5666.0,Mariner Books,348,3.47,total:261,Mary McCarthy
1505,Choke,tt1024715,4586348.940020926,5855448.256694977,2008.0,choke,6.4,34607.0,HarperTorch,352,3.84,total:2804,Stuart Woods
1506,Choke,tt1024715,4586348.940020926,5855448.256694977,2008.0,choke,6.4,34607.0,DoubleDay,304,3.7,total:182483,Chuck Palahniuk
1507,Revolutionary Road,tt0959337,53507404.30024414,115003759.11762989,2008.0,revolutionary road,7.3,232825.0,Methuen,355,3.91,total:74824,Richard Yates
1508,The Vanishing Point,tt0847487,0.0,0.0,2007.0,the vanishing point,6.4,714.0,Mariner Books,369,3.67,total:1135,Mary Sharratt
1509,The Tale of Despereaux,tt0420238,91726978.80041853,77780113.34734699,2008.0,the tale of despereaux,6.1,41168.0,Candlewick Press,267,4.04,total:153529,Kate DiCamillo
1510,The Tale of Despereaux,tt0420238,91726978.80041853,77780113.34734699,2008.0,the tale of despereaux,6.1,41168.0,Candlewick Press,272,4.04,total:153941,Kate DiCamillo
1511,Hamlet,tt0243951,0.0,0.0,2000.0,hamlet,6.4,261.0,Cambridge University Press,289,4.02,total:695817,William Shakespeare
1512,Hamlet,tt0243951,0.0,0.0,2000.0,hamlet,6.4,261.0,Dover Publications,128,4.02,total:698155,William Shakespeare
1513,Maria,tt0319821,0.0,0.0,2003.0,maria,7.0,347.0,Panamericana Editorial,57,3.69,total:16,Gustavo Reyes
1514,Night Train,tt1020055,0.0,0.0,2009.0,night train,5.7,10155.0,Roaring Brook Press,32,3.26,total:58,Caroline Stutson
1515,The Visitor,tt0969307,0.0,0.0,2008.0,the visitor,6.2,638.0,Harper Voyager,512,3.8,total:1738,Sheri S. Tepper
1516,Outlander,tt0462465,76439149.00034878,10752974.857164403,2008.0,outlander,6.2,80838.0,Games Workshop(uk),254,3.85,total:55,Matt Keefe
1517,Coraline,tt0327597,91831286.30274662,190697458.2838161,2009.0,coraline,7.8,292949.0,William Morrow Paperbacks,162,4.06,total:451554,Neil Gaiman
1518,Chocolate,tt1183252,0.0,0.0,2008.0,chocolate,6.9,19351.0,Whitecap Books,158,4.35,total:37,Trish Deseine
1519,Push,tt0465580,58159814.65840619,69585614.82181633,2009.0,push,6.1,118670.0,Vintage,177,3.84,total:46913,Sapphire
1520,Wings,tt0061196,0.0,0.0,1966.0,wings,7.6,2466.0,Dell,480,3.85,total:5054,Danielle Steel
1521,Paris,tt0869994,29046876.62013253,36002839.17916427,2008.0,paris,6.8,13127.0,DK Publishing (Dorling Kindersley),448,4.19,total:2339,Alan Tillier
1522,The Rebel,tt0782154,2391659.334339377,0.0,2007.0,the rebel,6.8,2475.0,Vintage,320,4.15,total:11427,Albert Camus
1523,Fanny,tt0022877,0.0,0.0,1932.0,fanny,7.8,2081.0,Signet,544,3.78,total:1134,Erica Jong
1524,Billy Budd,tt0055796,0.0,0.0,1962.0,billy budd,7.8,5308.0,WWW.Readhowyouwant.com,132,3.12,total:14388,Herman Melville
1525,Night Has a Thousand Eyes,tt0040643,0.0,0.0,1948.0,night has a thousand eyes,7.0,2178.0,Pegasus Books,344,3.77,total:826,Cornell Woolrich
1526,The Body,tt0377651,0.0,0.0,2003.0,the body,6.3,1178.0,Penguin Books,80,4.25,total:32410,Stephen King
1527,Mammoth,tt1038043,15305214.383791104,0.0,2009.0,mammoth,6.8,10697.0,Ace Books,341,3.53,total:1282,John Varley
1528,Black Ice,tt0890883,0.0,0.0,2007.0,black ice,6.7,2854.0,Vintage,256,3.52,total:765,Lorene Cary
1529,Earth,tt0393597,23916593.343393777,173793911.62866142,2007.0,earth,7.9,14899.0,Spectra,704,3.92,total:6808,David Brin
1530,Love Songs,tt0996605,0.0,0.0,2007.0,love songs,7.0,10490.0,Pomona,259,4.38,total:37,Crass
1531,Management,tt1082853,0.0,3726296.264121208,2009.0,management,5.8,18885.0,Prentice Hall,736,3.54,total:26,Michael A. Hitt
1532,Management,tt1082853,0.0,3726296.264121208,2009.0,management,5.8,18885.0,Butterworth-Heinemann Ltd,576,4.29,total:1187,Peter F. Drucker
1533,Rhinoceros,tt0070605,0.0,0.0,1974.0,rhinoceros,5.7,1413.0,Copper Canyon Press,96,4.0,total:2,Kevin Ducey
1534,The Soloist,tt0821642,91831286.30274662,48548381.84777264,2009.0,the soloist,6.7,56426.0,Counterpoint,320,3.29,total:58,Nicholas Christopher
1535,Killshot,tt0443559,0.0,4526715.702319794,2008.0,killshot,6.0,22740.0,HarperTorch,334,3.73,total:5459,Elmore Leonard
1536,The Alibi,tt0409681,0.0,0.0,2006.0,the alibi,6.3,6561.0,Hachette Books,564,4.04,total:22868,Sandra Brown
1537,My Sister's Keeper,tt1078588,45915643.15137331,146493668.15927675,2009.0,my sister's keeper,7.3,101878.0,Limitless Corporation,252,3.86,total:125,Mavis Applewater
1538,Madame Bovary,tt0041615,0.0,0.0,1949.0,madame bovary,7.0,3210.0,Penguin Classics,327,3.67,total:237971,Gustave Flaubert
1539,The Group,tt0060479,0.0,0.0,1966.0,the group,6.5,2267.0,Signet,397,3.66,total:12827,Mary McCarthy
1540,Shiver,tt0896927,0.0,0.0,2008.0,shiver,6.0,3547.0,Vintage Books USA,15,3.6,total:634,Nikki Gemmell
1541,Jonathan Livingston Seagull,tt0070248,0.0,0.0,1973.0,jonathan livingston seagull,5.7,2451.0,Scribner,112,3.84,total:192105,Richard Bach
1542,The Collector,tt0844479,5203772.890488976,174479443.9752186,2009.0,the collector,6.3,78213.0,Back Bay Books,305,3.98,total:52004,John Fowles
1543,House,tt0837796,0.0,0.0,2008.0,house,4.5,6381.0,Mariner Books,352,3.98,total:2076,Tracy Kidder
1544,Obsessed,tt1198138,30610428.767582208,112998918.17281877,2009.0,obsessed,5.0,35642.0,Oasis Audio,0,3.91,total:7712,Ted Dekker
1545,Black Box,tt0414879,0.0,0.0,2005.0,black box,5.7,1990.0,Vintage,259,3.89,total:2815,Amos Oz
1546,The Time Traveler's Wife,tt0452694,59690336.09678531,154934366.85865816,2009.0,the time traveler's wife,7.1,163887.0,MacAdam/Cage,518,3.97,total:1521922,Audrey Niffenegger
1547,Northern Lights,tt1363127,0.0,0.0,2009.0,northern lights,5.7,1970.0,Broadway Books,372,3.29,total:1057,Tim O'Brien
1548,Northern Lights,tt1363127,0.0,0.0,2009.0,northern lights,5.7,1970.0,Jove,637,4.0,total:38725,Nora Roberts
1549,London,tt0110377,0.0,0.0,1994.0,london,7.3,815.0,,400,4.03,total:718,Lonely Planet
1550,London,tt0110377,0.0,0.0,1994.0,london,7.3,815.0,Ballantine Books,1152,4.07,total:25295,Edward Rutherfurd
1551,The Three Musketeers,tt0024663,0.0,0.0,1933.0,the three musketeers,5.2,542.0,Viking,704,4.07,total:262810,Alexandre Dumas
1552,The Men Who Stare at Goats,tt1234548,36732514.52109865,105191755.86503282,2009.0,the men who stare at goats,6.2,140819.0,Simon  Schuster,259,3.61,total:14446,Jon Ronson
1553,Thirst,tt0762073,7652607.191895552,0.0,2009.0,thirst,7.1,53955.0,Beacon Press,88,4.36,total:4223,Mary Oliver
1554,Angel,tt0028575,0.0,0.0,1937.0,angel,7.2,3625.0,HarperCollins Publishers,495,3.65,total:1029,Barbara Taylor Bradford
1555,Whiteout,tt0365929,61220857.535164416,18681587.531455696,2009.0,whiteout,5.5,42132.0,MacMillan Audio,4,3.58,total:28698,Ken Follett
1556,Whiteout,tt0365929,61220857.535164416,18681587.531455696,2009.0,whiteout,5.5,42132.0,Signet,469,3.58,total:28775,Ken Follett
1557,Capone,tt0072761,6016003.059273424,12404130.01912046,1975.0,capone,5.7,3425.0,Da Capo Press,432,3.9,total:632,John Kobler
1558,Hiroshima,tt1504402,0.0,0.0,2009.0,hiroshima,6.5,164.0,Scholastic Paperbacks,64,3.68,total:778,Laurence Yep
1559,Cleopatra,tt0024991,0.0,0.0,1934.0,cleopatra,6.8,5065.0,Waking Lion Press,308,3.86,total:1214,H. Rider Haggard
1560,Where the Wild Things Are,tt0386117,153052143.83791104,153184982.3851123,2009.0,where the wild things are,6.7,111163.0,HarperCollins,48,4.22,total:779084,Maurice Sendak
1561,India Song,tt0073166,0.0,0.0,1975.0,india song,6.1,2836.0,Grove Press,146,3.56,total:328,Marguerite Duras
1562,The Man Who Watched Trains Go By,tt0046034,0.0,0.0,1952.0,the man who watched trains go by,6.3,843.0,New York Review of Books,203,3.85,total:3117,Georges Simenon
1563,Mother,tt0017128,0.0,0.0,1926.0,mother,7.4,3256.0,Citadel Press,406,3.93,total:11684,Maxim Gorky
1564,Mother,tt0017128,0.0,0.0,1926.0,mother,7.4,3256.0,Echo Library,285,3.93,total:11707,Maxim Gorky
1565,Up in the Air,tt1193138,38263035.95947776,250500443.819509,2009.0,up in the air,7.4,357752.0,Anchor,320,2.87,total:4595,Walter Kirn
1566,David Copperfield,tt0238768,0.0,0.0,2001.0,david copperfield,7.0,1219.0,Signet,928,3.99,total:192313,Charles Dickens
1567,Forever,tt0906743,211.57972905168089,0.0,2006.0,forever,7.6,351.0,Gallery Books,224,3.62,total:51758,Judy Blume
1568,The Collector,tt0480163,0.0,0.0,2005.0,the collector,6.9,2177.0,Back Bay Books,305,3.98,total:52004,John Fowles
1569,Les Misérables,tt0026725,0.0,0.0,1935.0,les misérables,7.6,4152.0,Signet Classics,1463,4.17,total:641220,Victor Hugo
1570,Vital Signs,tt0100879,0.0,0.0,1990.0,vital signs,5.5,916.0,"Samuel French, Inc.",96,3.5,total:16,Jane Martin
1571,Fantastic Mr. Fox,tt0432283,61220857.535164416,71124896.96490872,2009.0,fantastic mr. fox,7.9,295551.0,Knopf Books for Young Readers,96,4.06,total:98799,Roald Dahl
1572,Creation,tt0974014,0.0,0.0,2009.0,creation,6.6,15527.0,Doubleday,574,4.22,total:3588,Gore Vidal
1573,Top Dog,tt0114697,12931614.6179402,10978309.316784052,1995.0,top dog,4.3,4084.0,Volo,80,4.22,total:18,Marcia Thornton Jones
1574,A Christmas Carol,tt1067106,306104287.6758221,497777399.8083545,2009.0,a christmas carol,6.8,137238.0,Bethany House Publishers,104,4.05,total:574810,Charles Dickens
1575,A Night to Remember,tt0036203,0.0,0.0,1942.0,a night to remember,6.6,1547.0,Zebra,256,3.35,total:20,Adrienne Basso
1576,A Night to Remember,tt0036203,0.0,0.0,1942.0,a night to remember,6.6,1547.0,Holt McDougal,208,4.03,total:16470,Walter Lord
1577,Brothers,tt0765010,39793557.39785687,66299661.8196883,2009.0,brothers,7.1,166713.0,Toby Press,556,3.3,total:23,Chayym Zeldis
1578,Summer of the Monkeys,tt0128648,0.0,0.0,1998.0,summer of the monkeys,6.2,651.0,Yearling,288,4.04,total:12345,Wilson Rawls
1579,Happiness,tt0017961,0.0,0.0,1935.0,happiness,7.3,1255.0,HarperPerennial,320,3.79,total:3112,Will Ferguson
1580,Asylum,tt0804443,33633225.56015346,0.0,2008.0,asylum,4.0,4142.0,University of Pittsburgh Press,88,4.17,total:87,Quan Barry
1581,A Single Man,tt1315981,10713650.068653772,0.0,2009.0,a single man,7.5,121156.0,Univ Of Minnesota Press,192,4.1,total:22641,Christopher Isherwood
1582,Morphine,tt1186366,5503618.728025111,1171162.4214088437,2008.0,morphine,7.2,4529.0,Chelsea House Publications,102,3.33,total:3,Gregory D. Busse
1583,The Lovely Bones,tt0380510,99483893.49464215,143142914.40996918,2009.0,the lovely bones,6.6,188919.0,Random House,327,3.81,total:1942369,Alice Sebold
